Name,Count
Mary,7065
Anna,2604
Emma,2003
Elizabeth,1939
Minnie,1746
Margaret,1578
Ida,1472
Alice,1414
Bertha,1320
Sarah,1288
Annie,1258
Clara,1226
Ella,1156
Florence,1063
Cora,1045
Martha,1040
Laura,1012
Nellie,995
Grace,982
Carrie,949
Maude,858
Mabel,808
Bessie,796
Jennie,793
Gertrude,787
Julia,783
Hattie,769
Edith,768
Mattie,704
Rose,700
Catherine,688
Lillian,672
Ada,652
Lillie,647
Helen,636
Jessie,635
Louise,635
Ethel,633
Lula,621
Myrtle,615
Eva,614
Frances,605
Lena,603
Lucy,590
Edna,588
Maggie,582
Pearl,569
Daisy,564
Fannie,560
Josephine,544
Dora,524
Rosa,507
Katherine,502
Agnes,473
Marie,471
Nora,471
May,462
Mamie,436
Blanche,427
Stella,414
Ellen,411
Nancy,411
Effie,406
Sallie,404
Nettie,403
Della,391
Lizzie,388
Flora,365
Susie,361
Maud,345
Mae,344
Etta,323
Harriet,319
Sadie,317
Caroline,306
Katie,303
Lydia,302
Elsie,301
Kate,299
Susan,286
Mollie,283
Alma,277
Addie,274
Georgia,259
Eliza,252
Lulu,249
Nannie,248
Lottie,245
Amanda,241
Belle,238
Charlotte,237
Rebecca,236
Ruth,234
Viola,229
Olive,224
Amelia,221
Hannah,221
Jane,215
Virginia,213
Emily,210
Matilda,210
Irene,204
Kathryn,204
Esther,198
Willie,192
Henrietta,191
Ollie,183
Amy,167
Rachel,166
Sara,165
Estella,162
Theresa,153
Augusta,151
Ora,149
Pauline,144
Josie,141
Lola,138
Sophia,138
Leona,137
Anne,136
Mildred,132
Ann,131
Beulah,131
Callie,131
Lou,131
Delia,129
Eleanor,129
Barbara,127
Iva,127
Louisa,126
Maria,125
Mayme,124
Evelyn,122
Estelle,119
Nina,119
Betty,117
Marion,115
Bettie,113
Dorothy,112
Luella,111
Inez,106
Lela,106
Rosie,106
Allie,105
Millie,105
Janie,96
Cornelia,94
Victoria,93
Ruby,92
Winifred,92
Alta,91
Celia,90
Christine,89
Beatrice,87
Birdie,85
Harriett,83
Mable,83
Myra,83
Sophie,83
Tillie,83
Isabel,81
Sylvia,81
Carolyn,80
Isabelle,80
Leila,80
Sally,80
Ina,79
Essie,78
Bertie,77
Nell,77
Alberta,76
Katharine,76
Lora,74
Rena,74
Mina,73
Rhoda,73
Mathilda,72
Abbie,71
Eula,70
Dollie,69
Hettie,69
Eunice,67
Fanny,67
Ola,67
Lenora,66
Adelaide,65
Christina,65
Lelia,65
Nelle,65
Sue,65
Johanna,64
Lilly,64
Lucinda,63
Minerva,63
Lettie,62
Roxie,62
Cynthia,61
Helena,60
Hilda,60
Hulda,60
Bernice,59
Genevieve,59
Jean,59
Cordelia,58
Marian,56
Francis,55
Jeanette,55
Adeline,54
Gussie,54
Leah,54
Lois,53
Lura,53
Mittie,53
Hallie,51
Isabella,50
Olga,50
Phoebe,50
Teresa,50
Hester,49
Lida,49
Lina,49
Winnie,49
Claudia,48
Elise,24
Goldie,24
Leola,24
Margret,24
Adaline,23
Floy,23
Idella,23
Juanita,23
Lenna,23
Lucie,23
Missouri,23
Nola,23
